occupation_group,job,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,%,
EMPLOYED,"Prof'l, Tech'l, & Related Workers"," 7,689 "," 6,861 "," 7,858 "," 7,635 "," 7,299 "," 7,225 "," 6,369 "," 5,416 "," 6,315 "," 5,522 "," 3,425 "," 2,521 "," 6,154 "," 6,932 "," 8,294 "," 7,574 "," 9,540 "," 9,095 "," 12,526 "," 7,816 "," 7,072 "," 6,849 "," 7,932 "," 8,181 "," 7,841 "," 6,499 "," 6,507 "," 7,504 "," 6,781 "," 5,074 "," 5,029 "," 5,209 "," 1,240 "," 223,784 ",#REF!,
EMPLOYED,"Managerial, Executive, and",,,,   ,,,,,   ,,,,,,,,,,   ,,,,,,,,,,,,,,,,,
EMPLOYED,Administrative Workers, 678 , 480 , 430 , 461 , 548 , 823 , 800 , 613 , 635 , 687 , 621 , 740 , 791 , 932 , 890 , 928 , 770 ," 1,025 "," 1,449 "," 1,708 "," 1,553 "," 2,001 "," 2,603 "," 2,176 "," 1,954 "," 2,195 "," 1,905 "," 1,789 "," 1,554 "," 1,258 "," 1,211 "," 1,249 ", 282 ," 37,739 ",#REF!,
EMPLOYED,Clerical Workers," 2,157 "," 1,681 "," 1,807 "," 1,928 "," 1,789 "," 2,079 "," 2,153 "," 2,270 "," 1,600 "," 1,646 "," 1,357 "," 1,339 "," 1,625 "," 1,480 "," 1,377 "," 1,333 "," 1,450 "," 1,454 "," 1,945 "," 2,153 "," 1,979 "," 2,451 "," 2,596 "," 2,207 "," 1,947 "," 1,915 "," 1,954 "," 1,925 "," 1,878 "," 1,453 "," 1,370 "," 1,385 ", 356 ," 58,039 ",#REF!,
EMPLOYED,Sales Workers," 2,184 "," 2,251 "," 2,715 "," 2,878 "," 3,031 "," 2,116 "," 2,681 "," 2,524 "," 2,704 "," 2,695 "," 1,862 "," 1,793 "," 2,324 "," 2,291 "," 2,830 "," 2,886 "," 3,426 "," 3,358 "," 3,564 "," 3,576 "," 3,037 "," 3,227 "," 2,950 "," 2,880 "," 2,786 "," 2,129 "," 2,495 "," 2,807 "," 3,018 "," 2,287 "," 2,383 "," 2,366 ", 498 ," 86,552 ",#REF!,
EMPLOYED,Service Workers, 956 ," 1,028 "," 1,331 "," 1,965 "," 1,755 "," 1,724 "," 2,436 "," 1,230 "," 1,026 "," 1,103 ", 752 ," 1,129 ", 964 , 992 ," 1,046 "," 1,139 "," 1,338 "," 1,850 "," 1,192 "," 1,035 "," 1,188 "," 1,600 "," 1,688 "," 1,899 "," 2,161 "," 2,333 "," 2,522 "," 2,639 "," 2,754 "," 3,501 "," 2,892 "," 2,921 ", 664 ," 54,753 ",#REF!,
EMPLOYED,"Agri, Animal Husbandry, Forestry ",,   ,,,,,   ,,,,   ,,,,,,,,   ,,,,,,,,,,,,,,,,,
EMPLOYED,Workers & Fishermen," 1,227 "," 1,081 "," 1,283 "," 1,412 "," 1,177 "," 1,409 "," 1,294 "," 1,020 "," 1,189 "," 1,003 ", 739 , 693 , 899 , 965 , 979 , 920 ," 1,098 ", 888 ," 1,086 "," 1,201 ", 948 ," 1,217 "," 1,311 "," 1,138 ", 958 , 906 , 858 ," 1,151 "," 1,032 ", 920 , 789 , 590 , 136 ," 33,517 ",#REF!,
EMPLOYED,"Production Process, Transport",,,,   ,,,   ,,,,,,,,,,,,   ,,,,,,,,,,,,,,,,,
EMPLOYED,"Equipment Operators, & Laborers"," 2,281 "," 2,236 "," 2,476 "," 3,113 "," 2,507 "," 2,906 "," 2,616 "," 2,407 "," 2,721 "," 2,204 "," 1,487 "," 1,545 "," 2,025 "," 1,695 "," 1,762 "," 1,759 "," 2,198 "," 1,821 "," 2,260 "," 2,374 "," 2,188 "," 2,801 "," 2,889 "," 2,936 "," 2,562 "," 2,162 "," 2,290 "," 2,708 "," 2,494 "," 2,342 "," 1,819 "," 1,597 ", 405 ," 73,586 ",#REF!,
